date,open,close,change,pct,low,high,volume,amount,turnover
2026-06-09,28.14,28.47,0.42,1.50%,27.6,28.53,2513161,704891,1.22%
2026-06-10,27.6,27.7,-0.77,-2.70%,27.2,28.0,3044088,838645,1.48%
2026-06-11,27.2,27.33,-0.37,-1.34%,26.8,27.69,3231431,880673,1.57%
2026-06-12,28.09,29.09,1.76,6.44%,27.81,29.76,5098538,1471798,2.47%
2026-06-15,30.54,31.31,2.22,7.63%,30.4,31.35,5714756,1772018,2.77%
2026-06-16,31.0,30.29,-1.02,-3.26%,30.2,31.1,2922714,896839,1.42%
2026-06-17,30.5,30.43,0.14,0.46%,30.12,30.95,2229817,680584,1.08%
2026-06-18,29.96,29.69,-0.74,-2.43%,29.28,30.98,3620675,1084589,1.76%
2026-06-22,29.25,30.44,0.75,2.53%,28.55,30.5,3918476,1160170,1.90%
2026-06-23,29.95,27.75,-2.69,-8.84%,27.64,30.0,4947402,1408640,2.40%
2026-06-24,27.41,27.65,-0.1,-0.36%,27.33,27.97,2846096,785124,1.38%
2026-06-25,26.51,25.92,-1.73,-6.26%,25.73,26.76,5760700,1503719,2.80%
2026-06-26,25.9,25.1,-0.44,-1.72%,24.86,25.9,3528208,893894,1.71%
2026-06-29,25.35,25.79,0.69,2.75%,24.98,25.96,3232927,824486,1.57%
2026-06-30,25.05,25.14,-0.65,-2.52%,24.7,25.26,3107057,775486,1.51%
2026-07-01,24.85,25.11,-0.03,-0.12%,24.42,25.55,3389084,846876,1.65%
2026-07-02,25.61,26.3,1.19,4.74%,25.52,26.96,5067418,1330164,2.46%
2026-07-03,27.5,27.82,1.52,5.78%,27.41,28.3,5386520,1506998,2.61%
2026-07-06,27.64,28.28,0.46,1.65%,27.62,29.19,3700913,1057805,1.80%
2026-07-07,27.8,27.62,-0.66,-2.33%,27.43,28.11,2235422,619795,1.09%
2026-07-08,27.12,27.36,-0.26,-0.94%,26.8,28.03,1969818,541986,0.96%
2026-07-09,26.82,27.62,0.26,0.95%,26.55,27.7,2514997,683733,1.22%
2026-07-10,28.0,27.72,0.1,0.36%,27.08,28.45,2657100,738349,1.29%
2026-07-13,27.23,27.36,-0.36,-1.30%,26.74,27.63,2130238,580474,1.03%
2026-07-14,26.88,29.06,1.7,6.21%,26.75,29.29,3803205,1072581,1.85%
2026-07-15,29.06,28.83,-0.23,-0.79%,28.56,29.34,2683491,777348,1.30%
2026-07-16,28.82,29.25,0.42,1.46%,28.79,29.59,2654390,777340,1.29%
2026-07-17,28.65,28.36,-0.89,-3.04%,27.92,28.82,2904169,824105,1.41%
2026-07-20,28.36,29.35,0.99,3.49%,28.29,29.45,2757682,799203,1.34%
2026-07-21,29.95,30.21,0.86,2.93%,29.13,30.33,3426670,1019428,1.66%
2026-07-22,30.81,32.2,1.99,6.59%,30.81,32.79,5261658,1685158,2.55%
2026-07-23,32.52,33.06,0.86,2.67%,31.92,33.68,4394476,1449660,2.13%
2026-07-24,31.74,31.51,-1.55,-4.69%,30.97,32.09,4010393,1260249,1.95%
