code,name,sector,start_date,start_adj_close,peak_date,peak_adj_close,max_gain_pct,days_to_peak,rolling12_start,rolling12_peak,rolling12_gain_pct,post_peak_dd_to_2023_pct,post_peak_trough_date,post_peak_dd_to_current_pct,post_peak_trough_current_date,cycle_end_close,current_date,current_close,current_vs_peak_pct,avg_amount_60d_before_start_cny,baseline_date,market_cap_baseline_cny,avg_amount_60d_to_baseline_cny,market_cap_start_cny,pe_ttm_start,pe_ttm_peak,pe_ttm_current,price_source,raw_price_source,valuation_start_source,valuation_baseline_source,valuation_peak_source,valuation_current_source
002594,比亚迪,电动车/动力电池,2020-01-10,12.8,2022-06-23,115.06,798.9062499999999,895,2020-03-23,2021-02-02,553.5957607872824,-48.4877455240744,2023-12-20,-53.66765166000347,2024-02-02,63.64,2026-07-22,91.57,-20.415435424995664,406241683.53333336,2021-01-04,564070816699.8,7858394353.066667,128004462756.6,45.27225991,284.57430902,30.30506613,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002594&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29%28TRADE_DATE%3D%272020-01-10%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29%28TRADE_DATE%3D%272022-06-23%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002594%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
300750,宁德时代,动力电池,2020-03-23,38.99,2021-12-02,361.76,827.8276481149012,619,2020-03-23,2021-01-07,435.9835855347525,-64.54279080053074,2023-12-18,-66.26216275984078,2024-01-30,144.56,2026-07-22,372.26,2.9024767801857587,4045237871.2,2021-01-04,941340454714.8,3642597590.0833335,237358799756,54.48763465,160.72243092,21.80798704,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300750&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300750&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300750%22%29%28TRADE_DATE%3D%272020-03-23%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300750%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300750%22%29%28TRADE_DATE%3D%272021-12-02%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300750%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
002709,天赐材料,电解液/六氟磷酸锂,2020-03-30,4.07,2021-10-29,80.87,1886.977886977887,578,2020-03-30,2021-01-08,710.5651105651106,-74.6383083961914,2023-12-20,-84.53072832941758,2024-09-20,24.33,2026-07-22,35.26,-56.399159144305685,367730106.1333333,2021-01-04,62275141069.47,1224044112.0,10712542654.17,607.00139131,100.46615344,25.07397983,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002709&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002709&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272020-03-30%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272021-10-29%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002709%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
002176,江特电机,锂资源,2020-05-20,1.27,2021-09-14,30.56,2306.299212598425,482,2020-11-02,2021-09-14,1588.3977900552484,-71.98952879581151,2023-09-26,-79.51570680628272,2024-09-18,13.5,2026-07-22,7.54,-75.32722513089006,99522993.86666666,2021-01-04,6688796277.52,109967771.73333333,2167033487.87,-1.10888406,270.38077378,-25.43120109,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002176&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002176&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272020-05-20%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272021-09-14%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002176%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
002466,天齐锂业,锂资源,2020-04-29,11.2,2022-07-08,143.65,1182.5892857142858,800,2020-09-10,2021-08-31,790.0134952766532,-66.07727114514445,2023-11-30,-82.64531848242255,2024-09-10,54.44,2026-07-22,43.92,-69.4256874347372,1954643997.8666666,2021-01-04,62038174086,2871374747.733333,22968895405.65,-3.48279994,38.66000774,33.67582397,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002466&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.002466&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002466%22%29%28TRADE_DATE%3D%272020-04-29%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002466%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002466%22%29%28TRADE_DATE%3D%272022-07-08%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22002466%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
300274,阳光电源,光伏逆变器/储能,2020-04-13,3.04,2021-10-27,119.98,3846.7105263157896,562,2020-04-13,2021-02-10,2583.8815789473683,-68.61976996166028,2022-04-26,-68.61976996166028,2022-04-26,59.37,2026-07-22,109.95,-8.359726621103514,457708970.03333336,2021-01-04,113941349301.5,2474855416.3,13839722075,15.52784587,113.13093693,19.1130445,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300274&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300274&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300274%22%29%28TRADE_DATE%3D%272020-04-13%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300274%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300274%22%29%28TRADE_DATE%3D%272021-10-27%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300274%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
600438,通威股份,硅料/电池片,2020-04-13,6.2,2022-07-05,63.99,932.0967741935483,813,2020-04-13,2021-02-18,693.2258064516128,-66.3384903891233,2023-12-18,-83.62244100640726,2026-07-17,24.13,2026-07-22,11.09,-82.66916705735271,1417483316.8,2021-01-04,187489481863.6,2785105475.733333,48452769229.2,18.61215046,24.29141953,-5.30851676,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600438&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600438&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22600438%22%29%28TRADE_DATE%3D%272020-04-13%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22600438%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22600438%22%29%28TRADE_DATE%3D%272022-07-05%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22600438%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
601012,隆基绿能,硅片/组件,2020-03-23,10.29,2021-11-01,70.82,588.2410106899903,588,2020-03-23,2021-01-27,501.2633624878523,-71.73114939282688,2023-12-18,-83.57808528664219,2026-07-13,22.73,2026-07-22,12.57,-82.25077661677493,1620552982.4,2021-01-04,377554066990.1,4870012072.0,84002813178.39,19.30625063,55.61940753,-13.78766966,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.601012&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.601012&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22601012%22%29%28TRADE_DATE%3D%272020-03-23%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22601012%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22601012%22%29%28TRADE_DATE%3D%272021-11-01%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22601012%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
300014,亿纬锂能,动力/储能电池,2020-01-03,23.39,2021-11-26,146.95,528.2599401453612,693,2020-03-24,2021-01-27,332.13734567901236,-75.22286492004083,2023-12-20,-79.34671657026199,2024-09-23,40.72,2026-07-22,53.0,-63.9333106498809,1327904701.6,2021-01-04,176590028957.21,2049560117.5333333,46605927932.55,34.50455408,96.64532736,25.71379735,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300014&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300014&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300014%22%29%28TRADE_DATE%3D%272020-01-03%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300014%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300014%22%29%28TRADE_DATE%3D%272021-11-26%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300014%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
300438,鹏辉能源,储能电池,2020-05-25,12.39,2022-09-08,94.46,662.3890234059725,836,2021-03-16,2021-12-03,311.0376734963648,-73.77726021596442,2023-12-20,-82.69108617404191,2024-08-20,28.17,2026-07-22,55.05,-41.7213635401228,165347987.98333332,2021-01-04,11465955912.15,653377044.2666667,5398115961.6,37.726764,141.9162442,48.23375233,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300438&klt=101&fqt=1&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.300438&klt=101&fqt=0&beg=20190101&end=20260722&lmt=5000&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300438%22%29%28TRADE_DATE%3D%272020-05-25%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300438%22%29%28TRADE_DATE%3D%272021-01-04%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300438%22%29%28TRADE_DATE%3D%272022-09-08%27%29&pageNumber=1&pageSize=5,https://datacenter-web.eastmoney.com/api/data/v1/get?reportName=RPT_VALUEANALYSIS_DET&columns=ALL&filter=%28SECURITY_CODE%3D%22300438%22%29%28TRADE_DATE%3D%272026-07-22%27%29&pageNumber=1&pageSize=5
